Open,Close,High,Low,Volume,Date
4.2625,4.2775,4.28,4.225,,06/07/16
4.1975,4.2725,4.275,4.1925,,06/06/16
4.14,4.1825,4.1925,4.105,,06/03/16
4.1375,4.1525,4.195,4.125,,06/02/16
4.0425,4.1375,4.14,4.01,,06/01/16
4.125,4.0475,4.13,4.04,,05/31/16
4.08,4.1275,4.135,4.065,,05/27/16
4.04,4.0825,4.0925,4,,05/26/16
3.965,4.0475,4.05,3.9575,,05/25/16
3.9725,3.975,4.0325,3.945,,05/24/16
3.94,3.9775,3.9925,3.91,,05/23/16
3.9,3.945,3.9675,3.89,,05/20/16
3.975,3.9,3.9775,3.855,,05/19/16
3.97,3.995,4.005,3.94,,05/18/16
3.925,3.97,3.98,3.9175,,05/17/16
3.9025,3.94,3.9425,3.8625,,05/16/16
3.8025,3.82,3.855,3.8025,,05/13/16
3.7475,3.8525,3.86,3.745,,05/12/16
3.785,3.74,3.81,3.7175,,05/11/16
3.6775,3.785,3.83,3.67,,05/10/16
3.795,3.6775,3.795,3.67,,05/09/16
3.7225,3.76,3.775,3.7225,,05/06/16
3.745,3.7175,3.7675,3.685,,05/05/16
3.765,3.7325,3.775,3.725,,05/04/16
3.9025,3.7825,3.935,3.7575,,05/03/16
3.8875,3.9025,3.91,3.835,,05/02/16
3.87,3.9025,3.92,3.85,,04/29/16
3.7975,3.87,3.9075,3.7875,,04/28/16
3.82,3.8075,3.8275,3.77,,04/27/16
3.7725,3.8225,3.83,3.74,,04/26/16
3.7125,3.77,3.85,3.685,,04/25/16
3.8425,3.7175,3.8425,3.705,,04/22/16
3.94,3.845,4.02,3.8325,,04/21/16
3.845,3.9475,3.955,3.8325,,04/20/16
3.8,3.845,3.86,3.8,,04/19/16
3.7525,3.81,3.84,3.75,,04/18/16
3.735,3.785,3.805,3.72,,04/15/16
3.73,3.74,3.745,3.6975,,04/14/16
3.63,3.735,3.7475,3.63,,04/13/16
3.57,3.6275,3.655,3.5675,,04/12/16
3.62,3.5675,3.6225,3.56,,04/11/16
3.615,3.6225,3.6275,3.59,,04/08/16
3.5775,3.615,3.62,3.575,,04/07/16
3.5675,3.58,3.59,3.55,,04/06/16
3.545,3.5675,3.57,3.535,,04/05/16
3.5375,3.545,3.55,3.5075,,04/04/16
3.5175,3.54,3.545,3.4725,,04/01/16
3.6675,3.515,3.6725,3.475,,03/31/16
3.725,3.67,3.74,3.6675,,03/30/16
3.705,3.73,3.73,3.685,,03/29/16
3.695,3.705,3.72,3.6775,,03/28/16
3.6875,3.7,3.7025,3.6725,,03/24/16
3.6975,3.685,3.7,3.66,,03/23/16
3.69,3.7,3.7175,3.6875,,03/22/16
3.665,3.695,3.7,3.6575,,03/21/16
3.68,3.67,3.6925,3.66,,03/18/16
3.6825,3.685,3.72,3.665,,03/17/16
3.6775,3.6825,3.685,3.66,,03/16/16
0,3.685,3.6925,3.6625,,03/15/16
3.66,3.6675,3.6775,3.6425,,03/14/16
3.625,3.66,3.6625,3.6225,,03/11/16
3.585,3.625,3.63,3.5775,,03/10/16
3.5875,3.59,3.6,3.56,,03/09/16
3.55,3.5875,3.61,3.5425,,03/08/16
3.575,3.55,3.585,3.545,,03/07/16
3.54,3.545,3.5775,3.535,,03/04/16
3.54,3.5375,3.555,3.5175,,03/03/16
3.5375,3.545,3.555,3.525,,03/02/16
3.535,3.5375,3.55,3.53,,03/01/16
3.55,3.535,3.57,3.53,,02/29/16
3.555,3.545,3.5625,3.525,,02/26/16
3.5975,3.555,3.615,3.55,,02/25/16
3.62,3.5975,3.6275,3.5875,,02/24/16
3.67,3.62,3.6725,3.615,,02/23/16
3.665,3.675,3.6925,3.6625,,02/22/16
3.6525,3.655,3.675,3.6475,,02/19/16
3.67,3.655,3.68,3.6525,,02/18/16
3.6275,3.6725,3.675,3.62,,02/17/16
3.5975,3.63,3.635,3.59,,02/16/16
3.61,3.5875,3.62,3.5825,,02/12/16
3.6,3.6025,3.6325,3.585,,02/11/16
3.61,3.6025,3.6175,3.5925,,02/10/16
3.6225,3.61,3.6275,3.5925,,02/09/16
3.66,3.6225,3.67,3.615,,02/08/16
3.69,3.6575,3.695,3.655,,02/05/16
3.71,3.685,3.735,3.68,,02/04/16
3.72,3.71,3.7325,3.7025,,02/03/16
3.7125,3.725,3.7375,3.69,,02/02/16
3.71,3.7125,3.7175,3.6775,,02/01/16
3.6525,3.72,3.725,3.65,,01/29/16
3.6875,3.655,3.7025,3.65,,01/28/16
3.6875,3.6925,3.71,3.675,,01/27/16
3.6925,3.6925,3.72,3.67,,01/26/16
3.7,3.6975,3.725,3.68,,01/25/16
3.6675,3.7025,3.715,3.665,,01/22/16
3.6875,3.67,3.72,3.655,,01/21/16
3.675,3.6875,3.6925,3.6525,,01/20/16
3.64,3.6775,3.695,3.64,,01/19/16
3.58,3.6325,3.635,3.56,,01/15/16
3.5775,3.58,3.6025,3.555,,01/14/16
3.56,3.58,3.6075,3.555,,01/13/16
3.52,3.5675,3.6375,3.495,,01/12/16
3.57,3.5175,3.5725,3.495,,01/11/16
3.53,3.57,3.5775,3.5275,,01/08/16
3.5325,3.53,3.5425,3.485,,01/07/16
3.535,3.5325,3.5475,3.5025,,01/06/16
3.5275,3.53,3.56,3.5175,,01/05/16
3.595,3.515,3.6,3.505,,01/04/16
3.585,3.5875,3.6025,3.575,,12/31/15
3.625,3.59,3.64,3.58,,12/30/15
3.61,3.625,3.63,3.57,,12/29/15
3.6375,3.61,3.655,3.605,,12/28/15
3.65,3.645,3.6575,3.635,,12/24/15
3.665,3.655,3.6775,3.645,,12/23/15
3.72,3.6625,3.745,3.66,,12/22/15
3.74,3.72,3.77,3.6975,,12/21/15
3.7425,3.745,3.795,3.7275,,12/18/15
3.7025,3.7425,3.75,3.625,,12/17/15
3.77,3.6975,3.7775,3.6925,,12/16/15
0,3.7725,0,3.7575,,12/15/15
3.735,3.8175,3.8175,3.735,,12/14/15
3.77,3.73,3.7875,3.7275,,12/11/15
3.725,3.7725,3.7925,3.7175,,12/10/15
3.7075,3.7175,3.7675,3.685,,12/09/15
3.69,3.7,3.71,3.6725,,12/08/15
3.7575,3.685,3.76,3.68,,12/07/15
3.7,3.7625,3.765,3.6975,,12/04/15
